temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,otemp0,otemp1,otemp2,otemp3,otemp4,otemp5,otemp6,otemp7,otemp8,otemp9,otemp10,otemp11,otemp12,otemp13,otemp14,otemp15,loc,start,end,ab_label
71.3,73.5,73.8,70.6,72.2,74.6,72.0,70.7,73.3,73.4,70.7,71.7,74.5,71.9,70.5,73.0,63.0,64.9,64.9,71.1,71.1,64.9,66.9,66.9,66.9,66.9,68.0,68.0,68.0,75.9,69.1,69.1,S12,2022-07-29 10:45:00-07:00,2022-07-29 14:45:00-07:00,0
76.3,77.8,77.4,76.5,76.6,77.6,77.1,76.2,73.5,74.9,76.7,77.5,77.8,77.4,77.6,76.1,69.1,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.9,66.0,66.45,66.0,66.0,64.0,64.0,64.0,W40,2022-06-08 14:45:00-07:00,2022-06-08 18:45:00-07:00,0
73.4,73.7,73.6,73.5,73.4,73.5,73.7,73.8,73.7,73.5,73.5,73.6,73.9,73.4,73.4,73.8,57.2,57.2,57.2,57.2,57.2,57.2,55.4,55.4,55.4,55.4,55.4,56.3,57.2,55.4,55.4,55.4,M80,2022-06-30 15:30:00-07:00,2022-06-30 19:30:00-07:00,0
77.9,78.0,78.2,78.1,78.0,77.9,78.1,78.2,78.1,78.2,78.2,78.3,78.2,78.3,78.2,78.3,70.0,70.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,75.9,75.9,75.9,77.0,73.9,73.9,C30,2022-06-05 13:30:00-07:00,2022-06-05 17:30:00-07:00,0
72.4,73.0,73.2,73.0,72.1,71.8,72.2,71.8,72.3,72.5,73.4,73.2,72.6,72.3,71.8,72.1,77.0,77.0,77.0,77.0,81.0,81.0,81.0,81.0,84.0,84.0,84.0,84.0,82.9,82.9,82.9,82.0,L30,2022-08-12 12:15:00-07:00,2022-08-12 16:15:00-07:00,0
